,Trial,TrialStart,Stimulus,StimGender,Accuracy,RT,Response,CorrectResponse,Responses,TrialEnd
0,1,29.6287,10932.png,M,1,15.4634,serious,serious,"['ashamed', 'serious', 'bewildered', 'alarmed']",46.8542
1,2,46.8603,1096.png,F,1,3.8347,fantasizing,fantasizing,"['alarmed', 'aghast', 'fantasizing', 'impatient']",52.2729
2,3,52.2791,10929.png,F,1,11.7398,reflective,reflective,"['impatient', 'aghast', 'irritated', 'reflective']",65.5514
3,4,65.5573,10917.png,F,0,4.5388,affectionate,doubtful,"['aghast', 'affectionate', 'doubtful', 'playful']",71.4604
4,5,71.4751,1092.png,M,0,4.4221,annoyed,upset,"['annoyed', 'terrified', 'arrogant', 'upset']",77.0698
5,6,77.0755,10915.png,F,0,11.9633,sympathetic,contemplative,"['sympathetic', 'contemplative', 'encouraging', 'flustered']",91.324
6,7,91.3299,1097.png,M,1,3.931,uneasy,uneasy,"['friendly', 'dispirited', 'uneasy', 'apologetic']",96.3925
7,8,96.4066,10911.png,M,1,4.5592,regretful,regretful,"['regretful', 'flirtatious', 'amused', 'terrified']",101.9938
8,9,101.9999,10925.png,F,0,15.0505,incredulous,interested,"['incredulous', 'despondent', 'panicked', 'interested']",118.4087
9,10,118.4153,10934.png,F,1,15.2434,distrustful,distrustful,"['terrified', 'distrustful', 'baffled', 'aghast']",135.0205
10,11,135.0265,10927.png,F,1,4.2859,cautious,cautious,"['reassuring', 'joking', 'arrogant', 'cautious']",140.5904
11,12,140.5964,10912.png,M,1,4.3119,sceptical,sceptical,"['indifferent', 'sceptical', 'embarassed', 'dispirited']",146.1438
12,13,146.15,10924.png,M,0,6.3494,hostile,pensive,"['excited', 'pensive', 'irritated', 'hostile']",154.2584
13,14,154.2646,1094.png,M,1,10.0726,insisting,insisting,"['insisting', 'relaxed', 'joking', 'amused']",165.746
14,15,165.7521,10926.png,M,1,4.0567,hostile,hostile,"['shy', 'alarmed', 'hostile', 'anxious']",183.0531
15,16,183.0659,10923.png,M,1,5.5746,defiant,defiant,"['apologetic', 'defiant', 'contented', 'curious']",190.1105
16,17,190.1168,10935.png,F,1,3.7779,nervous,nervous,"['nervous', 'insisting', 'contemplative', 'puzzled']",194.981
17,18,194.9872,10918.png,F,1,18.0337,decisive,decisive,"['bored', 'aghast', 'amused', 'decisive']",214.1675
18,19,214.1739,10910.png,M,0,7.8246,insisting,cautious,"['insisting', 'bored', 'cautious', 'aghast']",222.9498
19,20,222.9558,10931.png,F,1,4.8627,confident,confident,"['confident', 'bewildered', 'alarmed', 'ashamed']",228.7077
20,21,228.714,10914.png,M,0,5.2652,disappointed,accusing,"['accusing', 'disappointed', 'depressed', 'irritated']",234.9519
21,22,234.9656,10936.png,M,1,6.4689,suspicious,suspicious,"['suspicious', 'nervous', 'indecisive', 'ashamed']",242.3363
22,23,242.3422,10913.png,M,1,11.9151,anticipating,anticipating,"['decisive', 'shy', 'anticipating', 'threatening']",255.5405
23,24,255.5466,10930.png,F,1,1.8585,flirtatious,flirtatious,"['flirtatious', 'hostile', 'grateful', 'disappointed']",258.458
24,25,258.4644,10920.png,M,1,3.6112,friendly,friendly,"['guilty', 'horrified', 'dominant', 'friendly']",262.9542
25,26,262.9605,1098.png,M,1,5.9741,despondent,despondent,"['shy', 'excited', 'despondent', 'relieved']",269.7865
26,27,269.793,10922.png,F,0,7.4087,imploring,preoccupied,"['preoccupied', 'imploring', 'insisting', 'grateful']",278.2459
27,28,278.2524,10916.png,M,0,5.6297,sympathetic,thoughtful,"['thoughtful', 'sympathetic', 'irritated', 'encouraging']",284.7899
28,29,284.7963,10921.png,F,1,3.8144,fantasizing,fantasizing,"['panicked', 'fantasizing', 'confused', 'embarassed']",289.5068
29,30,289.5133,10933.png,M,0,4.0788,guilty,concerned,"['guilty', 'concerned', 'embarassed', 'fantasizing']",294.4582
30,31,294.4652,1099.png,F,0,7.3727,hostile,preoccupied,"['annoyed', 'horrified', 'hostile', 'preoccupied']",302.7108
31,32,302.7175,10919.png,F,1,5.5994,tentative,tentative,"['sarcastic', 'tentative', 'arrogant', 'grateful']",309.2256
32,33,309.2323,1091.png,M,1,3.3637,playful,playful,"['bored', 'comforting', 'playful', 'irritated']",313.5209
33,34,313.5273,1095.png,M,1,2.5473,worried,worried,"['worried', 'sarcastic', 'irritated', 'friendly']",316.9805
34,35,316.9872,1093.png,F,1,5.0881,desire,desire,"['flustered', 'joking', 'desire', 'convinced']",322.9513
35,36,322.9577,10928.png,F,0,2.9958,affectionate,interested,"['interested', 'contented', 'affectionate', 'joking']",326.8078
