TrialNumber,LeftAmount,RightAmount,LeftOption,RightOption,WhichSelected,RT,LeftDisplay,RightDisplay,WhichSelected,RT2,HowLongLearnDelay,HowLongToPressReceipt,WhatLearnedFactWas
1,4,3,Learn,Trivia,Learn,1.30199980736,Do you have piercings,Do you belong to a religious body,Do you belong to a religious body,0.434000015259,N/A,0.414999961853,I belong to a religious body
2,4,2,Share,Trivia,Share,0.121000051498,Whether I like my job,Whether I have a car,Whether I have a car,0.417999982834,2.41439982337,N/A,N/A
3,4,3,Share,Learn,Share,0.332999944687,Whether I like going to clubs,Whether I have good eyesight,Whether I like going to clubs,1.06399989128,1.59563209594,N/A,N/A
4,4,3,Share,Trivia,Trivia,0.0920000076294,Animals,Geography,Geography,0.475999832153,N/A,0.736000061035,Monaco has the highest population density out of any country.
5,4,3,Share,Trivia,Trivia,0.0819997787476,Science,Science,Science,0.407999992371,N/A,2.63499999046,Human saliva has a boiling point three times that of regular water.
6,1,4,Share,Learn,Learn,0.134999990463,Do you have a savings account,Do you like driving,Do you like driving,0.720999956131,N/A,0.557999849319,I like driving
7,4,2,Learn,Trivia,Trivia,0.203999996185,Culture,Animals,Animals,0.442999839783,N/A,0.746999979019,There is a species of spider called the Hobo Spider.
8,4,3,Learn,Trivia,Trivia,0.148999929428,Culture,History,History,0.328000068665,N/A,0.0190000534058,"In 1895 Hampshire police handed out the first ever speeding ticket, fining a man for doing 6mph!"
9,4,3,Share,Learn,Learn,0.181000232697,Do you have an instagram account,Do you like to exercise,Do you like to exercise,1.00600004196,N/A,0.539000034332,I absolutely like to exercise
10,2,1,Share,Learn,Learn,0.148000001907,Do you like camping,Do you like tattoos,Do you like tattoos,0.618999958038,N/A,0.680000066757,I like tattoos
11,2,1,Share,Learn,Learn,0.172000169754,Do you like canoeing,Do you like to exercise,Do you like to exercise,0.531999826431,N/A,0.47200012207,I absolutely like to exercise
12,4,3,Learn,Trivia,Trivia,0.0699999332428,Animals,Animals,Animals,0.345999956131,N/A,0.212000131607,The Weddell seal can travel underwater for seven miles without surfacing for air.
13,1,4,Share,Learn,Learn,0.193000078201,Do you like swimming,Do you like tattoos,Do you like tattoos,0.513999938965,N/A,0.308000087738,I like tattoos
14,4,3,Share,Learn,Learn,0.168999910355,Do you like your job,Do you like coffee,Do you like coffee,0.374000072479,N/A,0.433000087738,I absolutely like coffee
15,1,4,Learn,Trivia,Trivia,0.0640001296997,History,Science,Science,0.427000045776,N/A,0.820999860764,"A ""jiffy"" is an actual unit of time: 1/100th of a second."
16,4,3,Learn,Trivia,Trivia,0.236000061035,Animals,Culture,Culture,0.462000131607,N/A,0.167000055313,Hewlett-Packard’s name was decided in a coin toss.
17,3,2,Share,Trivia,Trivia,0.266000032425,Science,Culture,Culture,0.96599984169,N/A,0.290999889374,"Every day, Americans eat an estimated 18 acres of pizza."
18,3,2,Learn,Trivia,Trivia,0.24599981308,Science,Film/Movies,Film/Movies,0.515000104904,N/A,0.153000116348,Paranormal Activity cost $15000 to make and has grossed $210 million so far.
19,4,1,Share,Trivia,Trivia,0.163000106812,Animals,Film/Movies,Film/Movies,0.721999883652,N/A,0.0750000476837,Some Wookie suits were made from human hair.
20,4,3,Learn,Trivia,Trivia,0.259999990463,Animals,Film/Movies,Film/Movies,0.729000091553,N/A,0.195000171661,Alfred Hitchcock came under CIA sureveillance for his use of uranium as a plot element in Notorious.
21,2,1,Share,Trivia,Trivia,0.210000038147,People,Animals,Animals,0.743000030518,N/A,0.353999853134,"In total, there are 205 bones in the skeleton of a horse."
22,1,1,Share,Learn,Learn,0.226999998093,Do you have an instagram account,Do you like dessert,Do you like dessert,0.753999948502,N/A,0.618000030518,I like dessert
23,4,1,Learn,Trivia,Trivia,0.118999958038,History,People,People,0.613000154495,N/A,0.0679998397827,"In Uganda, 50% of the population is under 15 years of age."
24,4,4,Share,Trivia,Trivia,0.348000049591,Animals,Geography,Geography,0.81500005722,N/A,0.0719997882843,The Sargasso Sea is the only sea with no coast.
25,1,4,Learn,Trivia,Trivia,0.299999952316,History,Animals,Animals,0.546999931335,N/A,0.385999917984,Penguins can jump as high as six feet in the air.
26,4,2,Share,Learn,Learn,0.232000112534,Do you like body piercings,Do you have hobbies,Do you have hobbies,0.473999977112,N/A,0.700000047684,I have many hobbies
27,3,2,Share,Learn,Learn,0.0840001106262,Do you have piercings,Do you have piercings,Do you have piercings,0.884000062943,N/A,0.486999988556,I don't have piercings
28,3,2,Share,Trivia,Trivia,0.161000013351,Animals,People,People,0.385999917984,N/A,0.0720000267029,"in 2015, more people were killed from injuries caused by taking a selfie than by shark attacks."
29,4,1,Share,Learn,Learn,0.210999965668,Do you like Japanese comic books (manga),Do you have good eyesight,Do you have good eyesight,0.68799996376,N/A,0.384000062943,I have good eyesight
30,2,4,Share,Learn,Learn,0.152000188828,Do you have an iPhone,Do you like cooking,Do you like cooking,0.518999814987,N/A,0.582000017166,I absolutely like cooking
31,4,4,Share,Learn,Learn,0.191999912262,Do you like canoeing,Do you like to exercise,Do you like canoeing,0.546000003815,N/A,0.0939998626709,I like canoeing
